,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Fultonville village, New York: Summary level: 160, state:36> place:27859",79,8,3,12,16,172,102,2,5,0,0,70,0,2,2,0
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",15,0,0,0,0,112,75,0,0,0,0,37,0,19,0,0
"Fair Haven village, New York: Summary level: 160, state:36> place:24988",63,2,12,8,7,339,206,10,0,18,0,133,0,6,6,2
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",60,11,0,11,0,517,228,0,7,0,0,289,0,0,25,0
"Rouses Point village, New York: Summary level: 160, state:36> place:63979",416,27,28,85,24,593,315,12,29,31,0,278,0,16,14,0
"Cohoes city, New York: Summary level: 160, state:36> place:16749",4420,261,323,908,192,3064,2069,147,86,193,0,995,23,76,26,0
"Plainview CDP, New York: Summary level: 160, state:36> place:58442",820,64,58,259,88,8093,5164,317,290,650,39,2929,91,119,464,62
"Port Washington North village, New York: Summary level: 160, state:36> place:59531",499,45,52,143,21,730,390,8,7,78,0,340,23,0,80,0
"Roslyn Harbor village, New York: Summary level: 160, state:36> place:63803",12,0,0,2,4,314,168,8,21,41,0,146,7,8,18,2
"Searingtown CDP, New York: Summary level: 160, state:36> place:66102",27,0,0,7,20,1406,809,52,45,212,0,597,8,17,103,8
"Thomaston village, New York: Summary level: 160, state:36> place:73605",146,0,0,19,28,803,472,35,31,87,20,331,10,9,48,0
"Clayville village, New York: Summary level: 160, state:36> place:16111",31,0,5,7,1,74,40,0,0,4,0,34,0,1,5,0
"New Hartford village, New York: Summary level: 160, state:36> place:50298",278,12,26,75,11,491,318,0,9,26,0,173,6,0,13,0
"Vernon village, New York: Summary level: 160, state:36> place:77112",261,17,40,37,0,241,152,12,0,9,0,89,16,4,3,0
"Whitesboro village, New York: Summary level: 160, state:36> place:81710",813,39,139,100,15,901,487,17,77,85,0,414,0,0,0,0
"Fairmount CDP, New York: Summary level: 160, state:36> place:25043",908,38,24,73,48,3226,1991,64,75,204,20,1235,17,128,38,0
"Village Green CDP, New York: Summary level: 160, state:36> place:77513",752,32,85,83,0,1133,794,81,15,16,0,339,18,0,16,0
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",221,0,11,84,24,426,194,0,11,42,0,232,0,23,40,0
"McGraw village, New York: Summary level: 160, state:36> place:44193",160,19,10,22,7,196,128,10,7,6,0,68,0,3,0,0
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",606,0,12,198,97,502,235,0,0,16,0,267,17,0,17,18
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",230,21,12,109,24,692,410,39,40,47,0,282,7,35,65,6
"Bellerose village, New York: Summary level: 160, state:36> place:05639",17,0,0,12,5,382,252,3,25,44,3,130,2,5,14,7
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",636,27,51,243,41,4748,3266,223,212,365,0,1482,52,63,154,14
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",851,64,29,304,116,2910,1920,147,127,312,9,990,32,74,87,0
"Garden City Park CDP, New York: Summary level: 160, state:36> place:28189",332,20,12,117,32,2170,1183,95,61,179,0,987,33,70,151,10
"Harbor Isle CDP, New York: Summary level: 160, state:36> place:32105",0,0,0,0,0,395,269,30,14,65,0,126,0,0,8,0
"Hicksville CDP, New York: Summary level: 160, state:36> place:34374",1678,77,218,407,118,11618,7375,555,559,1075,0,4243,170,169,489,81
"Lattingtown village, New York: Summary level: 160, state:36> place:41432",86,4,0,10,27,546,273,11,2,86,0,273,22,18,44,3
"Levittown CDP, New York: Summary level: 160, state:36> place:42081",1182,24,66,309,58,15209,10288,629,755,1529,0,4921,138,332,542,60
"Locust Valley CDP, New York: Summary level: 160, state:36> place:43192",395,0,48,180,0,851,526,22,65,21,0,325,11,11,51,0
"Lynbrook village, New York: Summary level: 160, state:36> place:43874",1913,57,163,649,93,5255,3460,424,288,521,0,1795,67,196,258,9
"Manhasset CDP, New York: Summary level: 160, state:36> place:44897",650,0,138,168,17,2094,1148,41,81,185,8,946,26,44,99,51
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",642,21,53,116,99,4928,3492,248,210,768,0,1436,6,56,211,0
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",51,0,3,21,16,499,279,32,22,87,0,220,12,27,18,0
"Oyster Bay CDP, New York: Summary level: 160, state:36> place:55992",1027,66,158,307,17,1648,1038,22,128,120,0,610,25,0,103,0
"Oswego city, New York: Summary level: 160, state:36> place:55574",3625,134,228,1370,227,3926,2476,150,167,125,37,1450,49,35,22,19
"Parish village, New York: Summary level: 160, state:36> place:56341",46,5,0,8,3,136,94,2,3,7,0,42,2,3,2,0
"Pulaski village, New York: Summary level: 160, state:36> place:59960",477,51,35,93,11,456,267,6,11,23,4,189,0,0,29,0
"Redwood CDP, New York: Summary level: 160, state:36> place:61016",60,0,50,0,10,140,90,17,0,5,0,50,28,0,0,0
"Sackets Harbor village, New York: Summary level: 160, state:36> place:64408",526,34,17,39,18,290,186,16,2,34,0,104,0,0,3,0
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",10179,868,693,2385,652,22965,13889,478,663,1216,42,9076,184,286,376,107
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",45,1,16,8,2,193,130,16,7,13,0,63,6,3,5,0
"Rye Brook village, New York: Summary level: 160, state:36> place:64325",751,0,71,230,0,2618,1598,129,143,167,16,1020,33,25,91,0
"Tuckahoe village, New York: Summary level: 160, state:36> place:75583",1409,125,133,307,30,1332,893,40,124,86,0,439,0,53,149,0
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",109,0,28,17,20,1094,673,58,37,61,0,421,0,32,49,0
"Middleport village, New York: Summary level: 160, state:36> place:46998",283,18,35,43,19,443,310,8,30,25,0,133,2,0,3,0
"Avoca village, New York: Summary level: 160, state:36> place:03331",102,0,2,39,14,260,140,19,2,7,0,120,0,3,2,3
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",194,0,37,37,49,1186,618,25,60,104,13,568,13,0,25,0
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",88,13,16,24,0,55,47,0,3,9,0,8,0,0,4,0
"Rock Hill CDP, New York: Summary level: 160, state:36> place:63132",53,0,10,0,0,482,254,17,22,15,0,228,8,8,0,0
"South Fallsburg CDP, New York: Summary level: 160, state:36> place:68968",579,2,20,196,58,228,62,10,0,24,0,166,0,0,23,0
"Champlain village, New York: Summary level: 160, state:36> place:13739",224,6,21,61,22,216,96,1,7,11,0,120,0,5,13,0
"Dannemora village, New York: Summary level: 160, state:36> place:19642",96,15,0,17,16,228,121,17,7,25,0,107,0,8,7,0
"Rushville village, New York: Summary level: 160, state:36> place:64199",70,12,8,3,13,198,122,0,12,6,0,76,2,5,0,0
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",209,0,73,24,25,1317,786,71,0,89,0,531,14,12,91,0
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",117,30,0,39,0,374,234,0,33,12,0,140,0,28,5,0
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",2028,135,144,530,66,7776,5545,376,403,1303,0,2231,66,207,297,9
"Greenport West CDP, New York: Summary level: 160, state:36> place:30581",236,34,12,47,57,789,291,0,53,31,0,498,0,7,64,0
"Yorktown Heights CDP, New York: Summary level: 160, state:36> place:84088",170,0,17,20,0,446,189,0,20,28,0,257,57,0,16,0
"Fort Montgomery CDP, New York: Summary level: 160, state:36> place:26902",205,9,0,21,22,399,293,0,5,28,0,106,14,0,23,0
"Pine Bush CDP, New York: Summary level: 160, state:36> place:57980",310,35,9,71,53,347,279,22,17,83,0,68,0,12,0,0
"Walton Park CDP, New York: Summary level: 160, state:36> place:78063",21,0,0,10,0,777,546,7,27,128,0,231,7,29,18,0
"Salisbury CDP, New York: Summary level: 160, state:36> place:64842",309,11,12,72,46,3499,2321,134,304,404,17,1178,33,48,143,0
"South Farmingdale CDP, New York: Summary level: 160, state:36> place:69001",354,0,51,80,82,4541,2901,191,229,388,0,1640,47,31,204,34
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",135,41,0,9,8,468,367,13,0,46,0,101,0,0,9,0
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",1162,97,71,312,43,1903,1300,67,39,81,0,603,38,6,0,0
"Arkport village, New York: Summary level: 160, state:36> place:02583",99,0,0,34,0,262,140,18,3,3,0,122,6,0,0,0
"Savona village, New York: Summary level: 160, state:36> place:65354",81,5,0,22,0,251,99,1,2,13,0,152,2,7,3,2
"South Hill CDP, New York: Summary level: 160, state:36> place:69199",542,43,0,355,0,619,428,14,31,54,0,191,0,0,15,0
"Hagaman village, New York: Summary level: 160, state:36> place:31291",82,0,0,30,0,573,326,12,36,27,0,247,10,0,30,3
"Morrisville village, New York: Summary level: 160, state:36> place:48593",69,2,4,11,0,193,120,0,12,11,0,73,0,4,13,0
"Andover village, New York: Summary level: 160, state:36> place:02143",124,11,14,4,27,243,99,20,0,3,0,144,4,4,6,4
"Norwich city, New York: Summary level: 160, state:36> place:53979",1747,133,115,484,55,1243,709,9,26,76,0,534,13,0,27,0
"Lyons CDP, New York: Summary level: 160, state:36> place:43962",481,9,83,94,53,976,576,0,16,30,0,400,0,0,43,0
"Gang Mills CDP, New York: Summary level: 160, state:36> place:28145",736,0,92,104,21,1027,727,14,14,126,0,300,0,0,13,0
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",504,33,39,274,6,2334,1575,171,148,193,0,759,37,35,98,0
"Orient CDP, New York: Summary level: 160, state:36> place:55321",48,0,0,2,20,313,142,5,10,37,3,171,4,24,29,0
"Quogue village, New York: Summary level: 160, state:36> place:60422",76,21,0,19,0,260,125,10,22,23,0,135,10,14,34,0
"Ridge CDP, New York: Summary level: 160, state:36> place:61665",876,50,91,220,69,4793,2493,173,182,534,0,2300,93,204,501,48
"Ronkonkoma CDP, New York: Summary level: 160, state:36> place:63473",1275,30,97,404,130,4784,3603,214,277,468,0,1181,36,104,216,6
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",18,0,0,0,18,667,509,53,44,28,10,158,12,0,23,0
"Spencer village, New York: Summary level: 160, state:36> place:70167",123,10,8,30,11,211,105,5,7,1,0,106,3,2,4,0
"Catskill village, New York: Summary level: 160, state:36> place:13002",693,57,102,285,48,713,386,32,21,57,0,327,0,13,18,0
"Greenville CDP (Greene County), New York: Summary level: 160, state:36> place:30609",59,0,0,22,0,215,146,15,0,38,0,69,0,32,9,0
"Harrison village, New York: Summary level: 160, state:36> place:32402",2872,99,269,688,265,5356,3214,188,253,681,26,2142,61,135,253,0
"Jefferson Valley-Yorktown CDP, New York: Summary level: 160, state:36> place:38500",411,9,54,72,31,4822,3104,195,165,336,31,1718,97,98,226,35
"Lake Mohegan CDP, New York: Summary level: 160, state:36> place:40689",481,85,56,72,68,1473,1111,174,42,194,0,362,14,28,30,0
"Milton CDP (Ulster County), New York: Summary level: 160, state:36> place:47554",151,24,0,22,0,385,191,30,14,18,0,194,0,15,33,0
"Greenwich village, New York: Summary level: 160, state:36> place:30675",262,26,59,44,3,491,355,10,12,34,0,136,6,3,10,0
"Holley village, New York: Summary level: 160, state:36> place:35155",307,21,12,58,10,486,350,16,11,36,0,136,2,0,10,0
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",869,68,119,162,33,2514,1611,55,88,275,0,903,88,60,163,19
"Medford CDP, New York: Summary level: 160, state:36> place:46404",1102,24,98,355,96,6854,4884,360,429,1013,0,1970,106,61,308,49
"Town Line CDP, New York: Summary level: 160, state:36> place:75121",29,0,0,0,0,654,350,28,0,56,0,304,0,12,13,0
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",308,8,4,70,16,706,445,34,16,53,0,261,8,34,19,0
"Woodbury village, New York: Summary level: 160, state:36> place:82750",379,45,0,14,82,2888,2096,94,234,273,12,792,11,27,61,0
"Sagaponack village, New York: Summary level: 160, state:36> place:64452",15,0,0,0,9,92,41,4,4,15,0,51,2,0,4,0
"Westport CDP, New York: Summary level: 160, state:36> place:80764",76,21,5,4,15,137,55,0,6,2,0,82,0,10,3,10
"Ticonderoga CDP, New York: Summary level: 160, state:36> place:73880",343,0,31,132,55,869,459,15,0,61,0,410,12,21,32,0
"Schenevus CDP, New York: Summary level: 160, state:36> place:65519",79,0,0,45,5,131,71,0,0,10,0,60,0,0,0,4
"Fillmore CDP, New York: Summary level: 160, state:36> place:25747",55,0,0,0,7,145,67,0,0,11,0,78,0,0,0,0
"South Blooming Grove village, New York: Summary level: 160, state:36> place:68610",252,37,17,72,19,871,645,71,80,76,0,226,15,4,32,5
"Andes CDP, New York: Summary level: 160, state:36> place:02121",24,3,3,0,10,89,42,0,4,0,0,47,0,0,5,0
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",24,0,0,0,0,40,22,0,3,0,0,18,0,4,3,0
"Lido Beach CDP, New York: Summary level: 160, state:36> place:42279",115,15,0,10,0,1088,586,53,41,166,6,502,14,10,58,0
"Matinecock village, New York: Summary level: 160, state:36> place:46107",49,0,0,15,10,224,123,6,4,39,0,101,11,6,8,2
"Mill Neck village, New York: Summary level: 160, state:36> place:47405",25,0,3,8,3,316,174,4,8,30,0,142,2,7,28,17
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",47,0,0,0,5,743,478,26,12,70,0,265,5,4,11,0
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",141,0,10,11,22,3743,2445,182,188,350,0,1298,69,64,123,8
"East Nassau village, New York: Summary level: 160, state:36> place:22557",35,0,0,0,4,181,125,4,9,20,0,56,0,2,8,0
"Menands village, New York: Summary level: 160, state:36> place:46536",1007,28,77,204,29,652,430,13,0,123,0,222,0,12,23,0
"Ravena village, New York: Summary level: 160, state:36> place:60675",543,66,76,131,5,820,581,25,20,76,0,239,0,14,16,0
"Hamburg village, New York: Summary level: 160, state:36> place:31643",1152,25,51,283,47,2881,1978,78,102,80,9,903,24,0,37,17
"Harris Hill CDP, New York: Summary level: 160, state:36> place:32391",385,0,0,74,8,1883,1254,33,78,67,0,629,0,0,61,0
"Lake Erie Beach CDP, New York: Summary level: 160, state:36> place:40486",153,18,0,36,46,1496,882,28,10,49,0,614,39,36,14,8
"Lancaster village, New York: Summary level: 160, state:36> place:41135",1435,98,161,147,15,3165,2162,15,45,192,0,1003,64,16,12,0
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",795,50,69,171,51,766,438,4,0,53,0,328,0,0,0,0
