,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Rodman CDP, New York: Summary level: 160, state:36> place:63330",174,14,7,0,160,23,0,0,0,4,6
"Romulus CDP, New York: Summary level: 160, state:36> place:63429",378,68,7,0,310,96,8,0,3,22,21
"Rosendale Hamlet CDP, New York: Summary level: 160, state:36> place:63742",1051,111,23,12,940,109,10,0,24,18,9
"St. Regis Falls CDP, New York: Summary level: 160, state:36> place:64716",424,130,54,10,294,31,7,23,21,0,7
"Salisbury Mills CDP, New York: Summary level: 160, state:36> place:64859",287,0,0,0,287,67,0,0,0,18,0
"Salt Point CDP, New York: Summary level: 160, state:36> place:64892",142,21,0,0,121,18,0,0,0,0,5
"Sanborn CDP, New York: Summary level: 160, state:36> place:64958",1075,65,35,0,1010,154,22,0,0,70,21
"Savannah CDP, New York: Summary level: 160, state:36> place:65332",572,167,70,11,405,103,15,8,14,3,14
"Schroon Lake CDP, New York: Summary level: 160, state:36> place:65640",678,77,26,0,601,101,18,4,9,17,34
"Scio CDP, New York: Summary level: 160, state:36> place:65761",578,68,32,0,510,103,3,0,0,11,17
"Rushford CDP, New York: Summary level: 160, state:36> place:64155",449,131,69,9,318,61,0,18,0,0,4
"Scottsburg CDP, New York: Summary level: 160, state:36> place:65926",94,0,0,0,94,8,0,0,0,3,2
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",349,36,0,0,313,72,17,0,0,20,17
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",231,10,0,0,221,29,0,8,0,0,0
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",1745,77,0,0,1668,505,18,0,0,48,22
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",397,66,10,0,331,52,0,4,0,0,13
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",50,0,0,0,50,16,0,0,0,0,0
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",658,43,19,5,615,111,10,0,0,29,10
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",529,10,10,0,519,76,0,0,0,0,8
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",7,7,7,0,0,0,0,0,0,0,0
"Thousand Island Park CDP, New York: Summary level: 160, state:36> place:73726",64,5,0,0,59,4,0,0,0,0,0
"Three Mile Bay CDP, New York: Summary level: 160, state:36> place:73737",215,13,0,0,202,57,0,0,0,7,0
"Titusville CDP, New York: Summary level: 160, state:36> place:74017",562,15,7,0,547,36,0,0,0,0,0
"Tuscarora CDP, New York: Summary level: 160, state:36> place:75726",69,0,0,0,69,0,0,0,0,0,0
"University at Buffalo CDP, New York: Summary level: 160, state:36> place:76280",244,199,140,0,45,32,0,22,0,9,0
"Verona CDP, New York: Summary level: 160, state:36> place:77167",887,92,28,15,795,118,16,15,0,19,73
"Wadsworth CDP, New York: Summary level: 160, state:36> place:77783",333,0,0,0,333,113,9,0,0,9,8
"Wanakah CDP, New York: Summary level: 160, state:36> place:78124",2786,72,0,0,2714,500,34,0,0,102,68
"Washington Mills CDP, New York: Summary level: 160, state:36> place:78454",1570,110,45,0,1460,258,0,0,33,41,0
"Websters Crossing CDP, New York: Summary level: 160, state:36> place:78982",34,16,0,0,18,0,0,0,0,0,0
"West Chazy CDP, New York: Summary level: 160, state:36> place:79543",453,50,0,0,403,65,19,0,0,0,55
"Westmoreland CDP, New York: Summary level: 160, state:36> place:80522",693,0,0,0,693,222,12,0,0,0,94
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",487,67,11,0,420,68,0,0,9,14,16
"Port Gibson CDP, New York: Summary level: 160, state:36> place:59322",373,112,61,11,261,54,4,11,0,0,4
"Busti CDP, New York: Summary level: 160, state:36> place:11440",286,19,0,0,267,71,21,0,0,21,47
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",28,0,0,0,28,0,0,0,0,0,1
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",236,0,0,0,236,31,0,0,0,0,0
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",476,0,0,0,476,64,0,0,0,13,18
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",591,0,0,0,591,224,28,0,0,23,28
"Tuckahoe CDP, New York: Summary level: 160, state:36> place:75572",902,180,25,0,722,133,0,27,38,0,30
"Millport village, New York: Summary level: 160, state:36> place:47427",417,81,35,0,336,81,2,7,19,5,8
"Richville village, New York: Summary level: 160, state:36> place:61621",264,46,21,4,218,51,2,4,3,7,13
"Red Creek village, New York: Summary level: 160, state:36> place:60829",652,118,18,2,534,223,16,3,13,17,16
"Wolcott village, New York: Summary level: 160, state:36> place:82678",1603,391,132,8,1212,250,8,35,15,30,13
"Wappingers Falls village, New York: Summary level: 160, state:36> place:78168",5478,718,215,0,4760,1027,51,0,8,114,117
"Alexander village, New York: Summary level: 160, state:36> place:01154",568,62,23,2,506,143,15,1,5,10,26
"West Sayville CDP, New York: Summary level: 160, state:36> place:80885",4717,280,96,0,4437,1232,65,0,24,105,38
"Wheatley Heights CDP, New York: Summary level: 160, state:36> place:81419",4738,141,11,0,4597,1528,59,0,0,124,109
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",1420,0,0,0,1420,373,36,0,0,34,26
"Frankfort village, New York: Summary level: 160, state:36> place:27188",2348,277,60,0,2071,473,12,0,0,18,52
"Ilion village, New York: Summary level: 160, state:36> place:37275",7380,1204,342,5,6176,1546,104,61,5,118,262
"Kensington village, New York: Summary level: 160, state:36> place:39309",1169,60,19,0,1109,290,40,0,0,38,17
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",46202,12259,4418,263,33943,6449,570,669,858,977,818
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",29569,2352,482,45,27217,5514,453,136,53,781,615
"Ransomville CDP, New York: Summary level: 160, state:36> place:60598",1483,23,13,0,1460,370,0,0,0,52,62
"Hewlett Bay Park village, New York: Summary level: 160, state:36> place:34297",353,2,0,0,351,92,7,0,0,8,10
"Hewlett Harbor village, New York: Summary level: 160, state:36> place:34308",1074,32,0,0,1042,304,24,0,0,22,15
"Lake Placid village, New York: Summary level: 160, state:36> place:40761",2197,348,50,7,1849,535,50,0,13,13,20
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",9964,1271,431,0,8693,1804,108,32,35,158,265
"Manchester village, New York: Summary level: 160, state:36> place:44853",1689,80,38,0,1609,313,34,0,3,58,55
"Cato village, New York: Summary level: 160, state:36> place:12958",647,55,20,0,592,204,7,0,4,3,7
"Moravia village, New York: Summary level: 160, state:36> place:48296",1208,137,17,0,1071,247,7,0,3,48,44
"East Williston village, New York: Summary level: 160, state:36> place:23217",2502,118,35,0,2384,714,69,6,0,43,102
"Flower Hill village, New York: Summary level: 160, state:36> place:26352",4670,170,8,0,4500,1452,209,0,0,127,190
"Chaumont village, New York: Summary level: 160, state:36> place:14036",758,67,29,0,691,174,16,3,0,35,35
"Fort Drum CDP, New York: Summary level: 160, state:36> place:26759",8549,902,395,18,7647,2692,217,75,100,838,881
"Mannsville village, New York: Summary level: 160, state:36> place:45073",324,21,7,0,303,73,2,0,1,3,4
"Nelliston village, New York: Summary level: 160, state:36> place:49748",552,128,50,0,424,69,14,0,9,14,6
"Firthcliffe CDP, New York: Summary level: 160, state:36> place:25857",5015,120,12,0,4895,1308,68,0,13,101,120
"Seaford CDP, New York: Summary level: 160, state:36> place:66058",14543,422,97,0,14121,3828,407,20,0,417,535
"Wyoming village, New York: Summary level: 160, state:36> place:83371",373,48,13,0,325,85,2,1,0,7,7
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",1945,0,0,0,1945,386,0,0,0,54,0
"Hammond village, New York: Summary level: 160, state:36> place:31830",239,71,27,3,168,30,0,1,2,2,3
"Harrisville village, New York: Summary level: 160, state:36> place:32424",594,142,42,0,452,113,7,0,0,7,24
"Clinton village, New York: Summary level: 160, state:36> place:16419",1594,128,44,0,1466,333,24,0,0,29,31
"Alden village, New York: Summary level: 160, state:36> place:01088",2501,149,15,6,2352,537,27,6,0,61,33
"Sodus Point village, New York: Summary level: 160, state:36> place:68242",870,91,26,3,779,101,16,10,3,16,23
"Hillside Lake CDP, New York: Summary level: 160, state:36> place:34803",1029,156,0,0,873,277,0,36,35,0,26
"Churchville village, New York: Summary level: 160, state:36> place:15638",2197,143,72,17,2054,487,49,0,0,54,34
"West Nyack CDP, New York: Summary level: 160, state:36> place:80599",3809,137,0,0,3672,804,0,0,0,63,30
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",337,109,60,0,228,60,3,4,4,0,1
"Chatham village, New York: Summary level: 160, state:36> place:14003",1628,185,34,0,1443,324,0,0,0,4,28
"Spencerport village, New York: Summary level: 160, state:36> place:70189",3390,310,58,0,3080,766,49,0,0,72,161
"Sayville CDP, New York: Summary level: 160, state:36> place:65409",14976,799,222,0,14177,3375,276,55,0,394,392
"Wading River CDP, New York: Summary level: 160, state:36> place:77772",7644,374,84,0,7270,1713,103,0,42,218,267
"Argyle village, New York: Summary level: 160, state:36> place:02550",542,97,15,0,445,118,0,7,5,2,2
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",603,128,56,0,475,94,0,0,0,0,0
"Allegany village, New York: Summary level: 160, state:36> place:01286",1811,434,309,3,1377,339,35,2,12,65,51
"Sag Harbor village, New York: Summary level: 160, state:36> place:64485",2146,311,10,9,1835,269,29,31,10,46,13
"Franklinville village, New York: Summary level: 160, state:36> place:27331",1517,237,84,20,1280,305,12,29,8,31,44
"Hillside CDP, New York: Summary level: 160, state:36> place:34786",807,20,0,0,787,167,13,0,0,13,31
"North Collins village, New York: Summary level: 160, state:36> place:51792",1148,121,45,3,1027,262,13,2,3,58,34
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",1955,38,11,0,1917,315,12,0,0,8,20
"Malverne Park Oaks CDP, New York: Summary level: 160, state:36> place:44792",454,0,0,0,454,162,3,0,0,7,0
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",30160,1530,478,48,28630,6860,655,12,86,762,768
"Adams village, New York: Summary level: 160, state:36> place:00199",1594,300,80,10,1294,373,32,14,17,78,43
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",222,37,7,0,185,53,1,5,10,0,13
"Philadelphia village, New York: Summary level: 160, state:36> place:57551",1066,203,61,5,863,234,14,13,9,38,23
"Hobart village, New York: Summary level: 160, state:36> place:34979",443,48,12,3,395,81,0,7,1,5,10
"Theresa village, New York: Summary level: 160, state:36> place:73517",654,54,5,0,600,169,0,0,0,0,29
"Watertown city, New York: Summary level: 160, state:36> place:78608",24188,5912,2131,198,18276,3676,196,565,322,572,502
"Morris village, New York: Summary level: 160, state:36> place:48483",511,93,31,0,418,99,19,0,0,27,14
"Otego village, New York: Summary level: 160, state:36> place:55618",896,81,9,0,815,155,7,4,0,9,21
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",1281,83,21,0,1198,314,13,0,0,38,20
"Hampton Manor CDP, New York: Summary level: 160, state:36> place:31918",2176,262,75,0,1914,472,40,43,0,74,52
"Poestenkill CDP, New York: Summary level: 160, state:36> place:58794",872,60,0,0,812,183,0,0,0,21,0
"Windham CDP, New York: Summary level: 160, state:36> place:82469",287,17,0,0,270,13,0,0,0,0,0
"Wilson village, New York: Summary level: 160, state:36> place:82359",1073,94,6,0,979,187,7,0,14,21,11
"Mariaville Lake CDP, New York: Summary level: 160, state:36> place:45573",370,61,15,0,309,74,0,0,0,0,0
"Altona CDP, New York: Summary level: 160, state:36> place:01572",253,49,0,0,204,68,0,0,0,16,0
"Parc CDP, New York: Summary level: 160, state:36> place:56291",43,0,0,0,43,5,0,0,0,0,0
"Brewster village, New York: Summary level: 160, state:36> place:08070",2008,514,152,24,1494,288,11,0,45,46,5
"Afton village, New York: Summary level: 160, state:36> place:00342",943,147,30,0,796,127,0,11,9,1,22
"Smyrna village, New York: Summary level: 160, state:36> place:68099",222,51,9,1,171,21,0,7,2,3,4
"Oneida city, New York: Summary level: 160, state:36> place:54837",10506,1547,424,69,8959,1907,159,45,66,232,318
"Sea Cliff village, New York: Summary level: 160, state:36> place:66047",4912,358,124,0,4554,1144,126,0,0,87,111
"Valley Stream village, New York: Summary level: 160, state:36> place:76705",36646,1613,410,38,35033,9802,704,53,36,1117,651
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",1914,187,33,0,1727,396,5,6,0,13,4
"Earlville village, New York: Summary level: 160, state:36> place:21523",1103,145,60,0,958,257,9,0,0,12,23
"Cortland city, New York: Summary level: 160, state:36> place:18388",15065,3628,2045,43,11437,2769,55,100,119,297,334
"Albertson CDP, New York: Summary level: 160, state:36> place:01011",5073,105,29,0,4968,1153,62,0,0,165,120
"Bath village, New York: Summary level: 160, state:36> place:04759",5294,965,188,15,4329,771,33,59,52,83,118
"South Corning village, New York: Summary level: 160, state:36> place:68847",1112,76,0,0,1036,185,5,0,0,26,12
"Wayland village, New York: Summary level: 160, state:36> place:78850",1736,180,49,0,1556,354,20,10,8,39,45
"Tully village, New York: Summary level: 160, state:36> place:75627",1013,120,64,0,893,182,7,3,12,12,30
"Marcellus village, New York: Summary level: 160, state:36> place:45480",1857,80,5,0,1777,438,0,0,0,29,14
"Syracuse city, New York: Summary level: 160, state:36> place:73000",124182,38616,17112,976,85566,19482,1108,2236,2075,2673,2182
"Warsaw village, New York: Summary level: 160, state:36> place:78333",3091,567,104,0,2524,473,22,0,13,58,0
"Cohocton village, New York: Summary level: 160, state:36> place:16727",865,155,63,7,710,197,5,14,6,13,12
"Hammondsport village, New York: Summary level: 160, state:36> place:31852",477,48,14,0,429,72,3,3,0,3,12
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",2767,299,281,0,2468,696,96,0,0,143,53
"Schenectady city, New York: Summary level: 160, state:36> place:65508",60080,10728,3358,213,49352,10504,530,614,741,1165,1234
"Fulton city, New York: Summary level: 160, state:36> place:27815",10786,2648,881,50,8138,1704,57,98,141,139,236
"Hannibal village, New York: Summary level: 160, state:36> place:32017",498,61,13,0,437,107,4,1,0,6,9
"Jeffersonville village, New York: Summary level: 160, state:36> place:38506",343,58,13,0,285,48,2,0,0,3,12
"Livingston Manor CDP, New York: Summary level: 160, state:36> place:42928",1223,277,48,0,946,218,6,0,0,37,0
"Dresden village, New York: Summary level: 160, state:36> place:20896",330,42,14,4,288,79,13,5,0,0,7
"Whitehall village, New York: Summary level: 160, state:36> place:81622",2195,472,160,39,1723,338,24,45,35,32,22
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",13438,277,21,0,13161,3815,225,0,0,353,229
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",199,24,8,0,175,8,0,0,0,12,1
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",18053,1406,314,11,16647,4844,387,38,16,563,563
"Roslyn village, New York: Summary level: 160, state:36> place:63770",2550,113,30,5,2437,571,49,0,16,11,76
"Dansville village, New York: Summary level: 160, state:36> place:19664",4391,824,240,0,3567,662,44,81,23,40,83
"Nunda village, New York: Summary level: 160, state:36> place:54078",1177,345,70,0,832,165,2,26,12,2,5
"Leeds CDP, New York: Summary level: 160, state:36> place:41784",401,0,0,0,401,115,0,0,0,32,9
"Fairview CDP (Westchester County), New York: Summary level: 160, state:36> place:25120",3118,316,87,0,2802,876,164,0,9,102,101
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",2523,195,36,0,2328,389,21,37,0,3,66
"Hunter village, New York: Summary level: 160, state:36> place:36167",478,177,0,0,301,19,19,0,0,0,19
"Glasco CDP, New York: Summary level: 160, state:36> place:29014",2555,366,167,0,2189,507,10,0,32,65,13
"Kingston city, New York: Summary level: 160, state:36> place:39727",22129,3924,1238,82,18205,3691,329,272,168,391,507
"Plattekill CDP, New York: Summary level: 160, state:36> place:58541",906,202,41,0,704,218,9,0,0,63,9
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",306,13,0,0,293,52,0,0,0,0,0
"Laurens village, New York: Summary level: 160, state:36> place:41520",177,25,14,2,152,32,1,2,0,3,3
"Ellenville village, New York: Summary level: 160, state:36> place:23965",3894,751,184,0,3143,906,15,0,86,60,95
"Gardiner CDP, New York: Summary level: 160, state:36> place:28244",698,14,0,0,684,209,0,0,0,0,0
"Hurley CDP, New York: Summary level: 160, state:36> place:37132",3145,152,50,0,2993,526,8,0,0,44,0
"Shokan CDP, New York: Summary level: 160, state:36> place:67081",1200,182,53,0,1018,240,24,0,0,0,24
"Zena CDP, New York: Summary level: 160, state:36> place:84187",1106,55,30,0,1051,239,37,0,0,21,34
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",1319,16,0,0,1303,207,0,0,0,60,11
"Rensselaer city, New York: Summary level: 160, state:36> place:61148",8822,1113,335,11,7709,1294,145,210,71,193,192
"Oxford village, New York: Summary level: 160, state:36> place:55948",1399,321,112,17,1078,184,6,42,26,11,15
"Bayville village, New York: Summary level: 160, state:36> place:05034",6596,302,92,0,6294,1369,92,0,14,65,141
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",16797,467,33,0,16330,3781,238,0,0,506,360
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",4796,226,110,0,4570,909,55,0,0,185,33
"Rifton CDP, New York: Summary level: 160, state:36> place:61797",210,28,0,0,182,0,0,0,0,0,21
"Saugerties village, New York: Summary level: 160, state:36> place:65288",3655,344,29,0,3311,678,24,46,0,146,114
"Walker Valley CDP, New York: Summary level: 160, state:36> place:77948",1215,286,137,71,929,329,0,0,71,0,0
"Geneva city, New York: Summary level: 160, state:36> place:28640",10102,2045,877,0,8057,1834,63,96,37,203,319
"Bolivar village, New York: Summary level: 160, state:36> place:07190",919,140,24,2,779,183,19,0,15,44,12
"Cuba village, New York: Summary level: 160, state:36> place:19356",1416,326,134,28,1090,225,22,18,22,23,38
"Wellsville village, New York: Summary level: 160, state:36> place:79092",4237,755,119,0,3482,637,103,34,42,109,44
"Green Island village, New York: Summary level: 160, state:36> place:30521",2527,176,68,0,2351,551,35,0,0,46,45
"Sloan village, New York: Summary level: 160, state:36> place:67686",3461,507,143,48,2954,511,10,56,20,41,63
"Aurora village, New York: Summary level: 160, state:36> place:03188",232,4,0,0,228,34,1,0,0,0,1
"Cayuga village, New York: Summary level: 160, state:36> place:13068",474,11,0,0,463,98,2,0,0,12,12
"Weedsport village, New York: Summary level: 160, state:36> place:79015",1788,123,34,0,1665,481,16,0,0,54,23
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",420,67,21,0,353,19,0,0,0,0,0
"Lakeland CDP, New York: Summary level: 160, state:36> place:40607",2427,89,28,0,2338,339,6,0,0,12,38
"Skaneateles village, New York: Summary level: 160, state:36> place:67510",2338,55,6,0,2283,546,16,0,0,53,20
"Warrensburg CDP, New York: Summary level: 160, state:36> place:78289",3093,387,67,0,2706,559,43,57,0,50,84
"Little Falls city, New York: Summary level: 160, state:36> place:42741",4487,1183,365,58,3304,722,27,109,41,48,55
"Newport village, New York: Summary level: 160, state:36> place:50573",512,61,25,0,451,114,0,0,0,0,13
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",580,68,0,0,512,118,3,0,0,3,2
"Granville village, New York: Summary level: 160, state:36> place:30026",2372,446,138,0,1926,329,34,6,0,62,71
"Victory village, New York: Summary level: 160, state:36> place:77431",587,91,33,4,496,130,2,5,0,16,4
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",28726,3017,1101,6,25709,7172,381,46,42,998,1418
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",7026,787,102,0,6239,1130,89,0,0,30,208
"Commack CDP, New York: Summary level: 160, state:36> place:17530",35393,1332,465,0,34061,9007,643,7,0,854,1025
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",0,0,0,0,0,0,0,0,0,0,0
"East Hampton village, New York: Summary level: 160, state:36> place:22183",1020,131,40,0,889,81,3,0,0,6,6
"Islandia village, New York: Summary level: 160, state:36> place:37840",3141,135,16,0,3006,762,6,0,0,104,109
"Lake Grove village, New York: Summary level: 160, state:36> place:40530",10895,525,236,7,10370,2607,140,21,0,273,160
"Laurel CDP, New York: Summary level: 160, state:36> place:41465",919,78,37,0,841,113,0,0,0,161,0
"Middle Island CDP, New York: Summary level: 160, state:36> place:46976",9462,1000,218,0,8462,1771,150,0,98,340,267
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",16262,1052,256,0,15210,3739,177,22,26,251,359
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",10907,2135,1078,27,8772,1848,20,320,72,325,320
"Ocean Beach village, New York: Summary level: 160, state:36> place:54430",24,5,0,0,19,0,0,0,0,0,0
"Endicott village, New York: Summary level: 160, state:36> place:24515",12078,2384,733,7,9694,2113,132,87,53,324,275
"Endwell CDP, New York: Summary level: 160, state:36> place:24526",11351,873,214,0,10478,2458,117,31,6,190,271
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",1089,73,17,0,1016,222,32,0,0,50,0
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",2394,167,67,0,2227,421,14,0,0,33,34
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",964,215,72,9,749,106,13,0,9,13,52
"Fairview CDP (Dutchess County), New York: Summary level: 160, state:36> place:25109",4552,707,323,0,3845,921,101,0,39,136,104
"Millerton village, New York: Summary level: 160, state:36> place:47361",846,104,18,0,742,119,7,10,7,18,16
"Staatsburg CDP, New York: Summary level: 160, state:36> place:70552",403,48,0,0,355,85,13,0,0,13,0
"Avon village, New York: Summary level: 160, state:36> place:03353",3082,330,97,40,2752,633,14,40,48,82,52
"Mattituck CDP, New York: Summary level: 160, state:36> place:46140",4610,160,43,0,4450,740,0,0,0,31,63
"Melville CDP, New York: Summary level: 160, state:36> place:46514",17255,608,109,8,16647,3607,368,8,0,375,306
"Liverpool village, New York: Summary level: 160, state:36> place:42884",2117,201,56,0,1916,296,22,15,0,25,35
"Mattydale CDP, New York: Summary level: 160, state:36> place:46151",5874,1127,314,33,4747,1160,61,80,26,74,124
"Glen Head CDP, New York: Summary level: 160, state:36> place:29245",4838,118,24,0,4720,1240,76,0,0,139,114
"Great Neck Plaza village, New York: Summary level: 160, state:36> place:30213",6570,625,240,0,5945,802,185,0,0,198,149
"Laurel Hollow village, New York: Summary level: 160, state:36> place:41487",1953,150,48,6,1803,629,29,6,0,52,29
"Long Beach city, New York: Summary level: 160, state:36> place:43335",31664,2169,508,131,29495,5244,489,125,126,598,728
"Muttontown village, New York: Summary level: 160, state:36> place:49330",3633,179,25,0,3454,877,8,0,0,30,20
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",403,0,0,0,403,48,0,0,0,7,15
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",11458,343,99,0,11115,2453,232,0,0,384,333
"Old Bethpage CDP, New York: Summary level: 160, state:36> place:54551",5344,185,9,0,5159,1376,93,0,0,185,126
"Greenlawn CDP, New York: Summary level: 160, state:36> place:30543",13212,573,124,8,12639,3303,175,0,39,200,329
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",58954,6487,2191,76,52467,15111,661,313,337,1751,2002
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",3178,86,11,0,3092,788,46,0,0,25,21
"Eastport CDP, New York: Summary level: 160, state:36> place:22810",2068,134,8,0,1934,539,45,0,0,40,45
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",100,0,0,0,100,12,12,0,0,24,0
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",7312,557,188,0,6755,1831,216,0,49,312,115
"Northport village, New York: Summary level: 160, state:36> place:53396",7242,375,157,0,6867,1620,110,37,0,28,204
"West Islip CDP, New York: Summary level: 160, state:36> place:80302",25980,1313,406,13,24667,6361,342,82,29,593,547
"Wyandanch CDP, New York: Summary level: 160, state:36> place:83294",10914,2286,870,38,8628,2004,112,113,117,480,359
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",4208,84,30,0,4124,1164,100,0,0,271,57
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",2143,11,0,0,2132,646,85,0,0,109,47
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",9796,335,88,0,9461,2585,422,0,9,341,289
"Asharoken village, New York: Summary level: 160, state:36> place:02737",436,21,0,0,415,92,8,0,0,8,7
"Baiting Hollow CDP, New York: Summary level: 160, state:36> place:04055",1603,54,10,0,1549,275,9,0,0,14,46
"Marathon village, New York: Summary level: 160, state:36> place:45392",826,90,35,9,736,129,11,0,9,26,4
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",7434,409,114,21,7025,1719,163,0,68,249,151
"Altamont village, New York: Summary level: 160, state:36> place:01517",1707,176,62,0,1531,418,25,0,5,53,26
"Blasdell village, New York: Summary level: 160, state:36> place:06849",2546,393,120,0,2153,337,34,0,0,83,81
"Buffalo city, New York: Summary level: 160, state:36> place:11000",238357,70065,26880,1654,168292,35023,1911,4170,4244,4755,4174
"Kenmore village, New York: Summary level: 160, state:36> place:39232",14827,968,369,0,13859,2942,102,7,15,373,185
"Valhalla CDP, New York: Summary level: 160, state:36> place:76639",3396,150,40,0,3246,714,31,11,12,100,64
"Lincolndale CDP, New York: Summary level: 160, state:36> place:42455",1466,60,0,0,1406,392,0,0,12,9,7
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",73689,7666,2160,153,66023,16412,1056,471,313,1690,1739
"Peach Lake CDP, New York: Summary level: 160, state:36> place:56869",1681,28,17,0,1653,420,38,0,0,114,45
"Perry village, New York: Summary level: 160, state:36> place:57243",3375,390,173,0,2985,637,26,0,0,88,128
"Dryden village, New York: Summary level: 160, state:36> place:20951",2017,331,198,0,1686,381,37,0,32,24,51
"Fonda village, New York: Summary level: 160, state:36> place:26462",809,100,38,3,709,214,0,0,15,0,18
"St. Johnsville village, New York: Summary level: 160, state:36> place:64639",1650,389,101,0,1261,261,3,27,37,40,53
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",1177,116,17,0,1061,112,10,18,0,0,0
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",1781,262,85,16,1519,198,8,8,8,22,52
"Baxter Estates village, New York: Summary level: 160, state:36> place:04803",1035,120,35,6,915,169,6,6,15,16,8
"Stannards CDP, New York: Summary level: 160, state:36> place:70717",559,89,0,0,470,40,4,22,0,21,0
"Williamsville village, New York: Summary level: 160, state:36> place:82084",4977,539,121,0,4438,915,63,0,0,178,88
"Bridgewater CDP, New York: Summary level: 160, state:36> place:08169",510,85,43,8,425,121,0,0,4,10,4
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",2071,197,15,0,1874,485,38,0,10,112,39
"Huntington CDP, New York: Summary level: 160, state:36> place:36233",16761,1169,322,0,15592,3440,296,0,0,320,506
"Huntington Station CDP, New York: Summary level: 160, state:36> place:37044",31696,4119,1387,0,27577,7004,611,138,37,1136,1031
"Lloyd Harbor village, New York: Summary level: 160, state:36> place:43005",3578,209,111,0,3369,909,26,0,0,67,32
"Northville CDP, New York: Summary level: 160, state:36> place:53775",1390,17,0,0,1373,227,62,0,0,65,62
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",3503,273,114,0,3230,361,19,0,0,19,0
