,Total,Owner occupied,Renter occupied
"Southport CDP, New York: Summary level: 160, state:36> place:69606",3152,2240,912
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",1952,1535,417
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",1356,1272,84
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",475,408,67
"Speculator village, New York: Summary level: 160, state:36> place:70123",101,80,21
"Spencer village, New York: Summary level: 160, state:36> place:70167",383,257,126
"Spencerport village, New York: Summary level: 160, state:36> place:70189",1442,944,498
"Springs CDP, New York: Summary level: 160, state:36> place:70387",2373,1952,421
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",8545,2319,6226
"Springville village, New York: Summary level: 160, state:36> place:70442",1792,1118,674
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",181,147,34
"Staatsburg CDP, New York: Summary level: 160, state:36> place:70552",136,136,0
"Stamford village, New York: Summary level: 160, state:36> place:70618",580,320,260
"Stannards CDP, New York: Summary level: 160, state:36> place:70717",465,267,198
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",318,258,60
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",808,682,126
"Stillwater village, New York: Summary level: 160, state:36> place:71322",668,471,197
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",452,389,63
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",4803,4413,390
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",39,39,0
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",4112,3506,606
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",613,421,192
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",222,163,59
"Suffern village, New York: Summary level: 160, state:36> place:71894",4507,3217,1290
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",258,203,55
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",11,0,11
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",442,337,105
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",6171,5690,481
"Syracuse city, New York: Summary level: 160, state:36> place:73000",55429,21816,33613
"Tannersville village, New York: Summary level: 160, state:36> place:73143",228,121,107
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",2295,2229,66
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",4476,2742,1734
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",3723,2713,1010
"Thendara CDP, New York: Summary level: 160, state:36> place:73459",68,68,0
